Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,BWA,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,CAF,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canada,CAN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.008631685,0.017880915,0.048381747,0.145805812,1.136428749,1.017759881,0.944641517,1.054344633,0.977850572,2.617987866,2.297746594,1.300019747,0.274804862,0.830117401,0.933387011,0.879659152,0.234628819,0.562009615,0.395602537,0.400804871,0.37596178,0.338413623,0.575617688,0.910484686,0.782128892,0.522656626,1.021542492,0.946878035,0.722046989,0.972215622,2.014365306,2.058865065,1.092315348,1.583357394,2.128324529,2.183881717,1.430516686,1.063499116,1.426253463,0.147282901,0,0,0,0,0.014429863,0,0,0,
Central Europe and the Baltics,CEB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.026235851,0.015695769,0.003934934,0.016270325,0.013191278,0.017413446,0.015845583,0.735458023,0.758158062,0.711367283,0.401741943,0.309905518,0.185303665,0.201447618,0.139200341,0.101911524,0.112907974,0.111397091,0.037069687,0.028392587,0.148047549,0.265008029,0.176683513,0.154117611,0.115677034,0.103696683,0.186460891,0.153980588,0.181371363,0.183999539,0.14031401,0.195609939,0.211414502,0.188530798,0.124479531,0.096852781,0.055034085,0.079986882,
Switzerland,CHE,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.000773524,0.000467809,6.45E-05,4.01E-05,2.24E-05,3.85E-05,2.35E-05,1.60E-05,1.25E-05,4.69E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Channel Islands,CHI,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.010248336,0.009899939,0.007123142,0.005603493,0.012399991,0.060047964,0.041992579,0.01193482,0.013316714,0.012550679,0.120315171,0.081026579,0.027123909,0.084948292,0.078035849,0.08164896,0.04290368,0.025859227,0.031192776,0.053711216,0.067588573,0.044300456,0.033845048,0.040230882,0.032886592,0.025389243,0.026855534,0.031596009,0.026170333,0.019826215,0.026485646,0.033217166,0.059648102,0.045543923,0.020668833,0.039259211,0.038241067,0.035096377,0.038457107,0.047198821,0.029634631,0.033955795,0.029254019,0.02213033,0.016697098,0.013244406,0.009486857,0.013181373,
China,CHN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.001429667,0.000164613,0.018925546,0.076192515,0.102552462,0.099776653,0.140058168,0.268767814,0.307052774,0.089895783,0.009474983,0.046439502,0.053375022,0.060277811,0.102327917,0.079382372,0.055036312,0.064039463,0.09779432,0.064081465,0.04247605,0.051568514,0.052451691,0.044822564,0.053050159,0.052598632,0.032424712,0.04278428,0.074181257,0.06887554,0.061738534,0.075813362,0.095988463,0.106815818,0.120743917,0.118479522,0.131632658,0.127606532,0.103295032,0.119138533,0.116139806,0.103631379,0.119294118,0.140668339,0.089871382,0.100137435,
Ivory Coast,CIV,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002547589,0.026174533,0.046723059,0.038028291,0.105258241,0.287012417,0.355908361,0.30772522,0.282860737,0.283789468,0.337288152,0.448887209,0.526210747,0.575256197,0.533564478,0.6738031,1.135632808,1.204901099,1.09513917,0.966757683,0.482955817,0.32870549,0.452506706,
Cameroon,CMR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004940599,0.006351099,0.006381944,0.006595816,0.006223406,0.081379363,0.090415953,0.169481854,2.61E-17,0.222515365,0.204076403,0.111148553,0.190764221,
"Congo, Dem. Rep.",COD,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005158196,0.010342722,0.010675973,0.010530455,0.01139508,0.016599639,,,0.000980176,0.000298715,5.04E-05,0,
